Watershed,Land_Use_Category,Min,Q1,Median,Mean,Q3,Max
1,Commercial,4206.351047,5764.258843,8880.074434,8880.074434,11995.89002,13553.79782
1,Industrial,31875.07029,43680.65188,67291.81506,67291.81506,90902.97824,102708.5598
1,Institutional,3860.923985,5290.895831,8150.839523,8150.839523,11010.78322,12440.75506
1,Residential,12763.47071,17490.68208,26945.10483,26945.10483,36399.52757,41126.73895
1,Road - Arterial/Collector,14804.91911,16487.29628,18169.67345,18169.67345,19852.05062,21534.4278
1,Road - Local,12756.05879,14205.61092,15655.16305,15655.16305,17104.71519,18554.26732
1,Total Salt,80266.79393,124416.1994,145092.6704,145092.6704,165769.1413,209918.5468
10,Commercial,2929.440703,4014.418741,6184.374817,6184.374817,8354.330893,9439.308931
10,Industrial,3923.66556,5376.875026,8283.293959,8283.293959,11189.71289,12642.92236
10,Institutional,2131.543043,2921.003429,4499.924201,4499.924201,6078.844973,6868.305359
10,Residential,9486.536883,13000.06906,20027.13342,20027.13342,27054.19778,30567.72996
10,Road - Arterial/Collector,6208.242773,6913.724906,7619.20704,7619.20704,8324.689173,9030.171306
10,Road - Local,10188.21916,11345.97134,12503.72352,12503.72352,13661.47569,14819.22787
10,Total Salt,34867.64812,52825.65841,59117.65695,59117.65695,65409.6555,83367.66578
11,Commercial,1258.739873,1724.939826,2657.339732,2657.339732,3589.739638,4055.939591
11,Industrial,1356.835924,1859.367748,2864.431396,2864.431396,3869.495043,4372.026867
11,Institutional,869.5277695,1191.575091,1835.669736,1835.669736,2479.76438,2801.811702
11,Residential,8203.362203,11241.6445,17318.2091,17318.2091,23394.77369,26433.05599
11,Road - Arterial/Collector,9452.352157,10526.48308,11600.61401,11600.61401,12674.74494,13748.87586
11,Road - Local,6429.409935,7160.0247,7890.639466,7890.639466,8621.254231,9351.868996
11,Total Salt,27570.22786,38847.47322,44166.90344,44166.90344,49486.33365,60763.57901
12,Commercial,1723.25044,2361.491344,3637.973151,3637.973151,4914.454959,5552.695863
12,Industrial,1041.219448,1426.85628,2198.129945,2198.129945,2969.40361,3355.040443
12,Institutional,2247.967012,3080.547387,4745.708137,4745.708137,6410.868887,7243.449261
12,Residential,5418.212352,7424.957668,11438.4483,11438.4483,15451.93893,17458.68425
12,Road - Arterial/Collector,5260.035588,5857.766905,6455.498222,6455.498222,7053.229539,7650.960856
12,Road - Local,4317.454143,4808.073932,5298.693721,5298.693721,5789.31351,6279.933299
12,Total Salt,20008.13898,30186.23067,33774.45148,33774.45148,37362.67228,47540.76397
2,Commercial,7376.244011,10108.18624,15572.07069,15572.07069,21035.95514,23767.89737
2,Industrial,14646.89782,20071.67479,30921.22872,30921.22872,41770.78266,47195.55963
2,Institutional,7627.337937,10452.27791,16102.15787,16102.15787,21752.03782,24576.9778
2,Residential,53490.4633,73301.74601,112924.3114,112924.3114,152546.8768,172358.1595
2,Road - Arterial/Collector,40443.38772,45039.22723,49635.06675,49635.06675,54230.90626,58826.74577
2,Road - Local,41450.55292,46160.84302,50871.13313,50871.13313,55581.42323,60291.71334
2,Total Salt,165034.8837,241351.674,276025.9686,276025.9686,310700.2631,387017.0534
3,Commercial,1464.812994,2007.336326,3092.382988,3092.382988,4177.429651,4719.952982
3,Industrial,8325.176885,11408.57573,17575.37342,17575.37342,23742.17112,26825.56996
3,Institutional,2378.300113,3259.152006,5020.855793,5020.855793,6782.559581,7663.411474
3,Residential,28608.53615,39204.29028,60395.79854,60395.79854,81587.3068,92183.06093
3,Road - Arterial/Collector,18447.71176,20544.04264,22640.37352,22640.37352,24736.7044,26833.03529
3,Road - Local,18777.30761,20911.09256,23044.87752,23044.87752,25178.66247,27312.44743
3,Total Salt,78001.84551,113226.0634,131769.6618,131769.6618,150313.2602,185537.4781
4,Commercial,5911.431016,8100.849911,12479.6877,12479.6877,16858.52549,19047.94439
4,Industrial,6321.720932,8663.099054,13345.8553,13345.8553,18028.61155,20369.98967
4,Institutional,5249.037824,7193.125907,11081.30207,11081.30207,14969.47824,16913.56632
4,Residential,24858.22615,34064.97658,52478.47744,52478.47744,70891.97829,80098.72872
4,Road - Arterial/Collector,21879.49156,24365.79742,26852.10328,26852.10328,29338.40914,31824.715
4,Road - Local,22673.24531,25249.75046,27826.25561,27826.25561,30402.76076,32979.26591
4,Total Salt,86893.1528,127868.0388,144063.6814,144063.6814,160259.324,201234.21
5,Commercial,512.3427479,702.0993212,1081.612468,1081.612468,1461.125614,1650.882188
5,Industrial,3480.612966,4769.728879,7347.960705,7347.960705,9926.192531,11215.30844
5,Institutional,561.689476,769.7226152,1185.788894,1185.788894,1601.855172,1809.888311
5,Residential,12134.65582,16628.97279,25617.60674,25617.60674,34606.24068,39100.55765
5,Road - Arterial/Collector,9359.769764,10423.37996,11486.99016,11486.99016,12550.60037,13614.21057
5,Road - Local,5955.372189,6632.119028,7308.865868,7308.865868,7985.612707,8662.359547
5,Total Salt,32004.44297,46161.40294,54028.82484,54028.82484,61896.24674,76053.20671
6,Commercial,555.9218135,761.8187814,1173.612717,1173.612717,1585.406653,1791.303621
6,Industrial,4844.563919,6638.846852,10227.41272,10227.41272,13815.97858,15610.26152
6,Institutional,755.4703973,1035.274248,1594.88195,1594.88195,2154.489651,2434.293502
6,Residential,10142.86026,13899.47518,21412.705,21412.705,28925.93483,32682.54974
6,Road - Arterial/Collector,6510.318151,7250.127031,7989.935912,7989.935912,8729.744793,9469.553674
6,Road - Local,5769.223933,6424.817562,7080.411191,7080.411191,7736.00482,8391.598448
6,Total Salt,28578.35848,42891.21773,49478.95949,49478.95949,56066.70125,70379.5605
7,Commercial,0,0,0,0,0,0
7,Industrial,1892.463033,2593.375267,3995.199736,3995.199736,5397.024204,6097.936439
7,Institutional,125.2892032,171.6926118,264.4994289,264.4994289,357.3062461,403.7096547
7,Residential,1101.522019,1509.493138,2325.435374,2325.435374,3141.377611,3549.348729
7,Road - Arterial/Collector,2789.651713,3106.65759,3423.663466,3423.663466,3740.669343,4057.675219
7,Road - Local,107.647907,119.8806237,132.1133404,132.1133404,144.3460571,156.5787738
7,Total Salt,6016.573875,8878.582312,10140.91135,10140.91135,11403.24038,14265.24882
8,Commercial,0,0,0,0,0,0
8,Industrial,0,0,0,0,0,0
8,Institutional,26.18247213,35.87968404,55.27410784,55.27410784,74.66853164,84.36574354
8,Residential,808.4334518,1107.853249,1706.692843,1706.692843,2305.532437,2604.952234
8,Road - Arterial/Collector,1707.663877,1901.71659,2095.769304,2095.769304,2289.822017,2483.87473
8,Road - Local,0,0,0,0,0,0
8,Total Salt,2542.279801,3347.58229,3857.736254,3857.736254,4367.890219,5173.192707
9,Commercial,2981.990313,4086.43117,6295.312884,6295.312884,8504.194597,9608.635454
9,Industrial,2398.055372,3286.224028,5062.561341,5062.561341,6838.898653,7727.06731
9,Institutional,3117.494782,4272.122479,6581.377872,6581.377872,8890.633266,10045.26096
9,Residential,15371.68927,21064.90752,32451.34402,32451.34402,43837.78052,49530.99876
9,Road - Arterial/Collector,15671.24879,17452.07252,19232.89624,19232.89624,21013.71997,22794.5437
9,Road - Local,12485.02615,13903.77912,15322.5321,15322.5321,16741.28507,18160.03804
9,Total Salt,52025.50468,74969.24209,84946.02445,84946.02445,94922.80681,117866.5442
